DeKalb,IL,8297,116,
Douglas,IL,2362,37,
DuPage,IL,75587,1260,
Edgar,IL,1532,57,
Edwards,IL,522,11,
Effingham,IL,4473,80,
Fayette,IL,3056,55,
Ford,IL,1542,52,
Franklin,IL,4112,77,
Fulton,IL,2808,52,
Gallatin,IL,432,5,
Greene,IL,1374,44,
Grundy,IL,5012,66,
Hamilton,IL,782,18,
Hancock,IL,1658,39,
Hardin,IL,342,11,
Henderson,IL,491,17,
Henry,IL,4292,83,
Iroquois,IL,2762,61,
Jackson,IL,4565,71,
Jasper,IL,1101,19,
Jefferson,IL,3912,115,
Jersey,IL,2470,63,
Jo Daviess,IL,1593,25,
Johnson,IL,1338,17,
Kane,IL,49986,755,
Kankakee,IL,12291,195,
Kendall,IL,10891,91,
Knox,IL,4988,156,
LaSalle,IL,10582,269,
Lake,IL,58508,984,
Lawrence,IL,2276,33,
Lee,IL,3295,82,
Livingston,IL,4108,85,
Logan,IL,3291,64,
Macon,IL,9373,192,
Macoupin,IL,4306,107,
Madison,IL,27562,521,
Marion,IL,4237,116,
Marshall,IL,830,16,
Mason,IL,1262,42,
Massac,IL,1235,35,
Mcdonough,IL,2299,52,
Mchenry,IL,23914,286,
Mclean,IL,14400,192,
Menard,IL,1024,12,
Mercer,IL,1264,32,
Monroe,IL,4011,80,
Montgomery,IL,3435,73,
Morgan,IL,3619,97,
Moultrie,IL,1477,30,
Ogle,IL,4944,79,
Peoria,IL,16809,273,
Perry,IL,2999,66,
Piatt,IL,1297,20,
Pike,IL,1671,52,
Pope,IL,281,3,
Pulaski,IL,667,5,
Putnam,IL,407,4,
Randolph,IL,3943,82,
Richland,IL,1630,47,
Rock Island,IL,12912,328,
Saline,IL,2261,61,
Sangamon,IL,15904,255,
Schuyler,IL,671,17,
Scott,IL,446,1,
Shelby,IL,2111,36,
St. Clair,IL,27527,503,
Stark,IL,533,22,
Stephenson,IL,4032,92,
Tazewell,IL,13332,271,
Union,IL,2176,37,
Vermilion,IL,8429,130,
Wabash,IL,1293,15,
Warren,IL,1657,46,
Washington,IL,1568,29,
Wayne,IL,1656,47,
White,IL,1587,35,
Whiteside,IL,5914,187,
Will,IL,63994,952,
Williamson,IL,6731,129,
Winnebago,IL,28110,458,
Woodford,IL,3634,73,
Adams,IN,3187,50,
Allen,IN,35355,655,
Bartholomew,IN,7317,152,
Benton,IN,908,13,
Blackford,IN,1210,27,
Boone,IN,6025,93,
Brown,IN,938,39,
Carroll,IN,1745,20,
Cass,IN,5267,99,
Clark,IN,11783,187,
Clay,IN,2376,43,
Clinton,IN,3909,57,
Crawford,IN,897,14,
Daviess,IN,2837,97,
DeKalb,IN,3807,81,
Dearborn,IN,5354,67,
Decatur,IN,2737,92,
Delaware,IN,9768,183,
Dubois,IN,5851,107,
Elkhart,IN,25270,426,
Fayette,IN,2826,55,
Floyd,IN,7114,168,
Fountain,IN,1989,40,
Franklin,IN,1600,36,
Fulton,IN,1756,38,
Gibson,IN,3995,84,
Grant,IN,6787,161,
Greene,IN,2596,82,
Hamilton,IN,31595,394,
Hancock,IN,7375,132,
Harrison,IN,3924,62,
Hendricks,IN,15678,314,
Henry,IN,5385,91,
Howard,IN,9002,194,
Huntington,IN,3335,77,
Jackson,IN,4612,61,
Jasper,IN,3116,44,
Jay,IN,1777,30,
Jefferson,IN,2914,73,
Jennings,IN,2127,46,
Johnson,IN,16227,360,
Knox,IN,3542,82,
Kosciusko,IN,8492,111,
LaGrange,IN,2402,72,
LaPorte,IN,9682,197,
Lake,IN,47978,889,
Lawrence,IN,4135,114,
Madison,IN,11660,331,
Marion,IN,89906,1685,
Marshall,IN,5370,105,
Martin,IN,797,14,
Miami,IN,3528,62,
Monroe,IN,10171,161,
Montgomery,IN,3775,83,
Morgan,IN,6014,129,
Newton,IN,966,33,
Noble,IN,5037,78,
Ohio,IN,523,11,
Orange,IN,1708,53,
Owen,IN,1817,54,
Parke,IN,1388,15,
Perry,IN,1723,36,
Pike,IN,1266,32,
Porter,IN,15769,276,
Posey,IN,2586,31,
Pulaski,IN,1048,42,
Putnam,IN,3240,58,
Randolph,IN,2285,76,
Ripley,IN,3235,60,
Rush,IN,1689,22,
Scott,IN,2471,48,
Shelby,IN,5478,100,
Spencer,IN,2146,29,
St. Joseph,IN,29298,522,
Starke,IN,1851,53,
Steuben,IN,3345,57,
Sullivan,IN,2019,38,
Switzerland,IN,749,7,
Tippecanoe,IN,19603,197,
Tipton,IN,1456,44,
Union,IN,692,10,
Vanderburgh,IN,21024,376,
Vermillion,IN,1578,40,
Vigo,IN,11455,233,
Wabash,IN,3276,75,
Warren,IN,743,13,
Warrick,IN,7336,146,
Washington,IN,2050,27,
Wayne,IN,6952,190,
Wells,IN,2553,78,
White,IN,2926,51,
Whitley,IN,3429,35,
Allen,KS,1088,1,
Anderson,KS,803,0,
Atchison,KS,1520,13,
Barber,KS,364,2,
Barton,KS,2558,21,
Bourbon,KS,1271,3,
Brown,KS,1201,32,
Butler,KS,7094,60,
Chase,KS,273,3,
